,begin_datetime_mpt,forecast_pool_price,rolling_30day_avg_price
16,2025-03-19 16:00:00,33.97,28.32
17,2025-03-19 17:00:00,33.08,28.31
18,2025-03-19 18:00:00,55.44,28.33
19,2025-03-19 19:00:00,59.55,28.36
20,2025-03-19 20:00:00,26.38,28.35
21,2025-03-19 21:00:00,16.16,28.32
22,2025-03-19 22:00:00,11.33,28.31
23,2025-03-19 23:00:00,13.78,28.29
24,2025-03-20 00:00:00,13.70,28.28
25,2025-03-20 01:00:00,14.54,28.28
26,2025-03-20 02:00:00,14.01,28.27
27,2025-03-20 03:00:00,15.85,28.26
28,2025-03-20 04:00:00,17.79,28.25
29,2025-03-20 05:00:00,18.40,28.25
30,2025-03-20 06:00:00,23.58,28.25
31,2025-03-20 07:00:00,22.73,28.24
32,2025-03-20 08:00:00,26.04,28.23
33,2025-03-20 09:00:00,19.08,28.22
34,2025-03-20 10:00:00,21.36,28.23
35,2025-03-20 11:00:00,25.47,28.23
36,2025-03-20 12:00:00,24.74,28.25
37,2025-03-20 13:00:00,25.56,28.25
38,2025-03-20 14:00:00,19.83,28.25
39,2025-03-20 15:00:00,18.56,28.25
40,2025-03-20 16:00:00,18.98,28.25
41,2025-03-20 17:00:00,24.95,28.26
42,2025-03-20 18:00:00,19.96,28.25
43,2025-03-20 19:00:00,21.05,28.23
44,2025-03-20 20:00:00,25.28,28.23
45,2025-03-20 21:00:00,25.06,28.23
46,2025-03-20 22:00:00,19.03,28.21
47,2025-03-20 23:00:00,17.29,28.18
48,2025-03-21 00:00:00,15.01,28.16
49,2025-03-21 01:00:00,15.77,28.13
50,2025-03-21 02:00:00,17.17,28.10
51,2025-03-21 03:00:00,17.72,28.07
52,2025-03-21 04:00:00,18.73,28.05
53,2025-03-21 05:00:00,22.78,28.03
54,2025-03-21 06:00:00,23.56,28.02
55,2025-03-21 07:00:00,25.03,27.99
56,2025-03-21 08:00:00,23.25,27.87
57,2025-03-21 09:00:00,22.35,27.81
58,2025-03-21 10:00:00,22.39,27.79
59,2025-03-21 11:00:00,22.95,27.77
60,2025-03-21 12:00:00,24.67,27.71
61,2025-03-21 13:00:00,23.49,27.64
62,2025-03-21 14:00:00,21.53,27.59
63,2025-03-21 15:00:00,,
