,begin_datetime_mpt,forecast_alberta_internal_load
0,2025-03-05 00:00,9876
1,2025-03-05 01:00,9778
2,2025-03-05 02:00,9729
3,2025-03-05 03:00,9719
4,2025-03-05 04:00,9759
5,2025-03-05 05:00,9912
6,2025-03-05 06:00,10293
7,2025-03-05 07:00,10640
8,2025-03-05 08:00,10729
9,2025-03-05 09:00,10744
10,2025-03-05 10:00,10747
11,2025-03-05 11:00,10745
12,2025-03-05 12:00,10718
13,2025-03-05 13:00,10720
14,2025-03-05 14:00,10708
15,2025-03-05 15:00,10732
16,2025-03-05 16:00,10807
17,2025-03-05 17:00,10823
18,2025-03-05 18:00,10831
19,2025-03-05 19:00,10869
20,2025-03-05 20:00,10779
21,2025-03-05 21:00,10612
22,2025-03-05 22:00,10346
23,2025-03-05 23:00,10090
