,Timestamp,Wind Speed (km/h)
0,2025-03-10 00:00:00,15.8
1,2025-03-10 01:00:00,12.9
2,2025-03-10 02:00:00,11.3
3,2025-03-10 03:00:00,10.8
4,2025-03-10 04:00:00,10.0
5,2025-03-10 05:00:00,8.2
6,2025-03-10 06:00:00,6.2
7,2025-03-10 07:00:00,3.3
8,2025-03-10 08:00:00,2.8
9,2025-03-10 09:00:00,4.7
10,2025-03-10 10:00:00,8.7
11,2025-03-10 11:00:00,13.0
12,2025-03-10 12:00:00,15.5
13,2025-03-10 13:00:00,17.3
14,2025-03-10 14:00:00,18.4
15,2025-03-10 15:00:00,18.3
16,2025-03-10 16:00:00,17.5
17,2025-03-10 17:00:00,13.7
18,2025-03-10 18:00:00,9.1
19,2025-03-10 19:00:00,6.7
20,2025-03-10 20:00:00,6.1
21,2025-03-10 21:00:00,5.5
22,2025-03-10 22:00:00,5.2
23,2025-03-10 23:00:00,5.2
